objectid,filename,title,format,description,creator,date,item_information,subject,location,source,identifier,rights,rightsstatement,type,language
update001,update_sept_1983.pdf,"Update, Vol. 1, September 1983, No. 1",application/pdf,First newsletter from Southeastern Free Will Baptist College,Southeastern Free Will Baptist College,1983-09,two-page;newsletter,Opening Services: Sparks of Revival; Why I Came to Southeastern; Missions Conference; News Briefs; Enrollment; Coming Events,"36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1oxLr1XN3Jvjtq4sP3xk6469xZqfAZQ1j/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
update002,update_dec_1983.pdf,"Update, Vol. 1, December 1983, No. 2",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1983-12,two-page;newsletter,"""God’s Priority""; Scholarships; “On the Go with Bro. Joe”; Welcome Days; Missionary Conference; Upcoming Events","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1UhJqelKmbAQ8Fp101szZVOQYbSE9yyp9/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
update003,update_feb_1984.pdf,"Update, Vol. 1, February 1984, No. 3",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1984-02,two-page;newsletter,"""Southeastern Announces Conference on Evangelism and Soul Winning""; Message from the President; Honor Roll; ""On the Go with Bro. Joe""; Important Information","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1oxLr1XN3Jvjtq4sP3xk6469xZqfAZQ1j/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
update004,update_may_1984.pdf,"Update, Vol. 1, May 1984, No. 4",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1984-05,two-page;newsletter,"""Conference on Soul Winning and Evangelism""; Basketball Tournament; Cooperating Board; Get Aquainted Days; Announcements","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/16V9VH121Y2r1a29YGbrRcg9BAe8Uz9jZ/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
update005,update_july_1984.pdf,"Update, Vol. 1, July 1984, No. 9",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1984-07,two-page;newsletter,"Testimonies; ""Why You Should Pray About Attending Southeastern""; ""College Opens for Second Year""; Calendar; Budget; Honor Roll; Staff","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/16V9VH121Y2r1a29YGbrRcg9BAe8Uz9jZ/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
update006,update_sept_1984.pdf,"Update, Vol. 1, September 1984, No. 10",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1984-09,two-page;newsletter,"""Southeastern Celebrates First Birthday""; Intern Program; Missions Conference; Enrollment; Staff; Basketball Tournament","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1NpZ-shGz3YPnR_li69TifdsaZgHjQt8U/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
update007,update_nov_1984.pdf,"Update, Vol. 1, November 1984, No. 11",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1984-11,two-page;newsletter,"""Should I Support Southeastern Free Will Baptist College?""; Conference on Evangelism and Soul Winning; Board Members; New Programs; Tip-Off Tournament","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1NpZ-shGz3YPnR_li69TifdsaZgHjQt8U/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
update008,update_jan_1985.pdf,"Update, Vol. 1, January 1985, No. 12",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1985-01,two-page;newsletter,"Conference on Evangelism and Soul Winning; ""Where Our Students Serve""; Enrollment; Get Acquainted Days; Dean's List","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1WJghyaLlTlv-ZIp5O4FVv7QBqMouUlkp/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
update009,update_mar_1985.pdf,"Update, Vol. 1, March 1985, No. 13",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1985-03,two-page;newsletter,Timothy Program; Commencement; Dean's List; Cooperating Board; Summer School,"36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1bhJDwyxC69pibGTroRq4ZonvXwrEmGhB/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard001,standard_may_1985.pdf,"Standard, Vol. 1, May 1985, No. 1",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1985-05,two-page;newsletter,"""The Southeastern Standard""; New President; Faculty; Get Aquainted Days; Graduation; Conference Reflections","36.8516° N, 75.9792° W",SFWBC Archives,https://drive.google.com/file/d/1gcwC7xCLzL8LvFZ51dmkQvWThc2gswkn/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
